Date,Comparison_Type
20160515,7
20160514,0.5
20160513,0
20160512,2
20160511,4
20160510,2
20160509,4
20160508,4
20160507,0
20160506,6
20160505,2
20160504,7
20160503,4
20160502,7
20160501,7
20160430,3.5
20160429,4
20160428,7
20160427,7
20160426,6
20160425,6
20160424,1.5
20160423,0.5
20160422,3
20160421,7
20160420,7
20160419,3
20160418,7
20160417,7
20160416,0
20160415,5.5
20160414,7
20160413,7
20160412,3
20160411,7
20160410,5
20160409,2
20160408,7
20160407,7
20160406,7
20160405,7
20160404,7
20160403,0
20160402,2.5
20160401,7
20160331,7
20160330,7
20160329,7
20160328,7
20160327,4.5
20160326,2
20160325,5.5
20160324,5
20160323,4
20160322,2.5
20160321,5.5
20160320,2
20160319,05,
20160318,6
20160317,0
20160316,0
20160315,1.5
20160314,0
20160313,2
20160312,2
20160311,0
20160310,5
20160309,1
20160308,0
20160307,5
20160306,7
20160305,3
20160304,6
20160303,3
20160302,6
20160301,7
20160229,7
20160228,7
20160227,3
20160226,2
20160225,2.5
20160224,5.5
20160223,5
20160222,7
20160221,3.5
20160220,3
20160219,7
20160218,7
20160217,6
20160216,5.5
20160215,6
20160214,3.5
20160213,0
20160212,4
20160211,5
20160210,7
20160209,6
20160208,5
20160207,0
20160206,0
20160205,3
20160204,5
20160203,5
20160202,4
20160201,6
20160131,3
20160130,0
20160129,7
20160128,7
20160127,6.5
20160126,5
20160125,7
20160124,3
20160123,0
20160122,7
20160121,7
20160120,7
20160119,6
20160118,5
20160117,0
20160116,1
20160115,4
20160114,5
20160113,5
20160112,5
20160111,5
20160110,3
20160109,0
20160108,5.5
20160107,5
20160106,5
20160105,5
20160104,4.5
20160103,0
20160102,2
20160101,0
20151231,0
20151230,1.5
20151229,2
20151228,2
20151227,3.5
20151226,1.5
20151225,0
20151224,0
20151223,2.5
20151222,3
20151221,2
20151220,4
20151219,2
20151218,4
20151217,4.5
20151216,4
20151215,4
20151214,5
20151213,4
20151212,4
20151211,4.5
20151210,7
20151209,6
20151208,5
20151207,7
20151206,4
20151205,7
20151204,4
20151203,5.5
20151202,6
20151201,4.5
20151130,5
20151129,4
20151128,4
